Personal Pronouns,Demonstrative Pronouns,quidam,Third-Person Pronouns,iste,alius,ipse,idem,priusquam,antequam,quominus,dum,quin,ut,Conditionals,Interrogative Sentences,Superlatives,atque + Consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,cum,Conjunctions,Vocatives,Mean Sentence Length,Characters,Words,Text Name,Sentences
0.00312,0.00276,0.00002,0.00034,0.00024,0.00014,0.0007,0.00007,0.00002,0.00005,0,0.00017,0.00005,0.00058,0.0006,0.00365,0,0.00007,0.22876,38.35955,0.0005,0.00022,0.01235,0.00029,91.44615,"41,608","7,520",Seneca Hercules Furens,455
0.00474,0.00362,0.00002,0.00026,0.00026,0.00018,0.00082,0.00005,0,0.00003,0,0.00035,0.00005,0.00067,0.00104,0.00418,0.00002,0.00007,0.24454,30.97143,0.00076,0.00031,0.01081,0.00043,85.50352,"60,793","11,191",Seneca Hercules Oetaeus,711
0.0034,0.00282,0,0.00023,0.00045,0.0001,0.00071,0.00003,0.00003,0,0,0.00026,0.00006,0.00075,0.00113,0.00256,0,0.00003,0.28159,31.06061,0.00055,0.00029,0.01144,0.00013,87.16949,"30,858","5,574",Seneca Medea,354
0.00387,0.0022,0,0.00052,0.00017,0.00014,0.00059,0.00031,0,0.00003,0,0.00007,0.00003,0.00052,0.00035,0.00195,0,0.00017,0.3254,35.4537,0.00017,0.00042,0.01132,0.0001,92.87702,"28,699","5,118",Seneca Octavia,309
0.0027,0.00195,0,0.00031,0.00028,0.00012,0.00099,0.00006,0,0,0,0.00031,0.00009,0.00053,0.00043,0.00282,0.00003,0.00003,0.23596,30.47368,0.0004,0.00009,0.01181,0.00015,90.91268,"32,274","5,794",Seneca Oedipus,355
0.0034,0.00246,0.00003,0.00056,0.00035,0.00023,0.00066,0.00013,0,0,0,0.00023,0.00003,0.00051,0.00066,0.00281,0.00003,0.00005,0.2263,32.89,0.00051,0.00028,0.01179,0.00043,90.07078,"39,451","7,082",Seneca Phaedra,438
0.00498,0.00462,0.00005,0.0006,0.00051,0.00023,0.00074,0,0,0,0,0.00032,0.00009,0.00115,0.00129,0.00466,0.00005,0.00009,0.34375,30.04878,0.00018,0.00014,0.01242,0,95.44493,"21,666","4,087",Seneca Phoenissae,227
0.00248,0.0034,0.00003,0.00059,0.00021,0.00012,0.00083,0.00006,0,0.00003,0,0.00024,0.00009,0.00044,0.00092,0.00322,0.00009,0.00009,0.232,32.92,0.00065,0.00035,0.01225,0.00015,94.43296,"33,807","6,182",Seneca Thyestes,358
0.00295,0.00382,0.00003,0.00033,0.00024,0.00024,0.00041,0.00014,0,0,0,0.0003,0,0.00062,0.00076,0.00358,0.00003,0,0.27857,32.51923,0.00038,0.00035,0.01243,0.00038,90.26161,"36,917","6,717",Seneca Troades,409
0.01077,0.01244,0.00005,0.00068,0.00043,0.00036,0.00088,0.00023,0.00002,0,0,0.00034,0.0002,0.00173,0.00221,0.00721,0.00029,0,0.15415,25.08434,0.00032,0.00005,0.00908,0.00038,40.31426,"44,386","9,076",Terence Adelphi,1101
0.01291,0.01261,0.00012,0.00102,0.00022,0.00055,0.00075,0.00015,0.00007,0,0.00002,0.00045,0.00027,0.00302,0.0025,0.00916,0.00017,0.00002,0.1722,26.49412,0.00035,0.00022,0.01004,0.00042,34.20751,"40,057","8,177",Terence Andria,1171
0.01319,0.01196,0.00025,0.00088,0.00075,0.00072,0.00077,0.00025,0.00002,0,0,0.00048,0.00025,0.00233,0.00195,0.01051,0.00014,0,0.17237,25.19251,0.00032,0.00023,0.01013,0.00023,32.98804,"44,138","8,950",Terence Eunuchus,1338
0.0139,0.01166,0.00014,0.00091,0.0004,0.00063,0.00061,0.0004,0,0,0,0.00058,0.00035,0.00298,0.00235,0.00794,0.00014,0.00005,0.22392,23.19742,0.00033,0.00009,0.01052,0.00005,38.21174,"42,950","8,801",Terence Heautontimorumenos,1124
0.01292,0.01215,0.00003,0.00126,0.00019,0.00074,0.0008,0.00055,0.00011,0.00005,0,0.00033,0.0003,0.0034,0.00214,0.00507,0.00011,0.00003,0.29389,27.2,0.00027,0.00011,0.01185,0.00019,51.2177,"36,467","7,380",Terence Hecyra,712
0.01218,0.01175,0.00014,0.00083,0.00031,0.00059,0.00073,0.00035,0.00012,0,0,0.00043,0.00033,0.00298,0.00244,0.0088,0.00038,0.00005,0.2039,24.38119,0.00045,0.00014,0.00955,0.00021,36.68083,"42,293","8,493",Terence Phormio,1153
